query_subpop	match_subpop,count...
ACB	ACB,519	ASW,428	BEB,12	CDX,0	CEU,36	CHB,0	CHS,0	CLM,37	ESN,312	FIN,0	GBR,21	GIH,3	GWD,7	IBS,23	ITU,4	JPT,0	KHV,0	LWK,0	MSL,0	MXL,1	PEL,15	PJL,11	PUR,142	STU,4	TSI,25	YRI,720	
ASW	ACB,151	ASW,474	BEB,0	CDX,0	CEU,126	CHB,0	CHS,0	CLM,56	ESN,27	FIN,1	GBR,93	GIH,0	GWD,12	IBS,90	ITU,0	JPT,0	KHV,0	LWK,0	MSL,0	MXL,34	PEL,66	PJL,0	PUR,166	STU,0	TSI,102	YRI,82	
BEB	ACB,0	ASW,0	BEB,1522	CDX,0	CEU,0	CHB,0	CHS,0	CLM,0	ESN,0	FIN,0	GBR,0	GIH,165	GWD,0	IBS,0	ITU,438	JPT,0	KHV,0	LWK,0	MSL,0	MXL,0	PEL,0	PJL,115	PUR,0	STU,380	TSI,0	YRI,0	
CDX	ACB,0	ASW,0	BEB,0	CDX,1653	CEU,0	CHB,39	CHS,70	CLM,0	ESN,0	FIN,0	GBR,0	GIH,0	GWD,0	IBS,0	ITU,0	JPT,0	KHV,98	LWK,0	MSL,0	MXL,0	PEL,0	PJL,0	PUR,0	STU,0	TSI,0	YRI,0	
CEU	ACB,0	ASW,0	BEB,0	CDX,0	CEU,2361	CHB,0	CHS,0	CLM,0	ESN,0	FIN,56	GBR,1137	GIH,0	GWD,0	IBS,24	ITU,0	JPT,0	KHV,0	LWK,0	MSL,0	MXL,0	PEL,0	PJL,0	PUR,0	STU,0	TSI,2	YRI,0	
CHB	ACB,0	ASW,0	BEB,0	CDX,17	CEU,0	CHB,1346	CHS,681	CLM,0	ESN,0	FIN,0	GBR,0	GIH,0	GWD,0	IBS,0	ITU,0	JPT,11	KHV,5	LWK,0	MSL,0	MXL,0	PEL,0	PJL,0	PUR,0	STU,0	TSI,0	YRI,0	
CHS	ACB,0	ASW,0	BEB,0	CDX,62	CEU,0	CHB,1156	CHS,2019	CLM,0	ESN,0	FIN,0	GBR,0	GIH,0	GWD,0	IBS,0	ITU,0	JPT,3	KHV,20	LWK,0	MSL,0	MXL,0	PEL,0	PJL,0	PUR,0	STU,0	TSI,0	YRI,0	
CLM	ACB,0	ASW,22	BEB,0	CDX,0	CEU,409	CHB,0	CHS,0	CLM,728	ESN,0	FIN,19	GBR,230	GIH,0	GWD,0	IBS,115	ITU,0	JPT,0	KHV,0	LWK,0	MSL,0	MXL,122	PEL,961	PJL,0	PUR,0	STU,0	TSI,34	YRI,0	
ESN	ACB,0	ASW,0	BEB,0	CDX,0	CEU,0	CHB,0	CHS,0	CLM,0	ESN,2204	FIN,0	GBR,0	GIH,0	GWD,0	IBS,0	ITU,0	JPT,0	KHV,0	LWK,0	MSL,0	MXL,0	PEL,0	PJL,0	PUR,0	STU,0	TSI,0	YRI,776	
FIN	ACB,0	ASW,0	BEB,0	CDX,0	CEU,29	CHB,0	CHS,0	CLM,0	ESN,0	FIN,1935	GBR,16	GIH,0	GWD,0	IBS,0	ITU,0	JPT,0	KHV,0	LWK,0	MSL,0	MXL,0	PEL,0	PJL,0	PUR,0	STU,0	TSI,0	YRI,0	
GBR	ACB,0	ASW,0	BEB,0	CDX,0	CEU,963	CHB,0	CHS,0	CLM,0	ESN,0	FIN,12	GBR,830	GIH,0	GWD,0	IBS,14	ITU,0	JPT,0	KHV,0	LWK,0	MSL,0	MXL,0	PEL,0	PJL,0	PUR,0	STU,0	TSI,1	YRI,0	
GIH	ACB,0	ASW,0	BEB,50	CDX,0	CEU,0	CHB,0	CHS,0	CLM,0	ESN,0	FIN,0	GBR,0	GIH,1701	GWD,0	IBS,0	ITU,85	JPT,0	KHV,0	LWK,0	MSL,0	MXL,0	PEL,0	PJL,148	PUR,0	STU,76	TSI,0	YRI,0	
GWD	ACB,0	ASW,0	BEB,0	CDX,0	CEU,0	CHB,0	CHS,0	CLM,0	ESN,2	FIN,0	GBR,0	GIH,0	GWD,3551	IBS,0	ITU,0	JPT,0	KHV,0	LWK,0	MSL,0	MXL,0	PEL,0	PJL,0	PUR,0	STU,0	TSI,0	YRI,7	
IBS	ACB,0	ASW,0	BEB,0	CDX,0	CEU,1199	CHB,0	CHS,0	CLM,0	ESN,0	FIN,1	GBR,850	GIH,0	GWD,0	IBS,906	ITU,0	JPT,0	KHV,0	LWK,0	MSL,0	MXL,0	PEL,0	PJL,0	PUR,0	STU,0	TSI,184	YRI,0	
ITU	ACB,0	ASW,0	BEB,196	CDX,0	CEU,0	CHB,0	CHS,0	CLM,0	ESN,0	FIN,0	GBR,0	GIH,166	GWD,0	IBS,0	ITU,1197	JPT,0	KHV,0	LWK,0	MSL,0	MXL,0	PEL,0	PJL,77	PUR,0	STU,504	TSI,0	YRI,0	
JPT	ACB,0	ASW,0	BEB,0	CDX,0	CEU,0	CHB,12	CHS,1	CLM,0	ESN,0	FIN,0	GBR,0	GIH,0	GWD,0	IBS,0	ITU,0	JPT,2067	KHV,0	LWK,0	MSL,0	MXL,0	PEL,0	PJL,0	PUR,0	STU,0	TSI,0	YRI,0	
KHV	ACB,0	ASW,0	BEB,0	CDX,926	CEU,0	CHB,191	CHS,473	CLM,0	ESN,0	FIN,0	GBR,0	GIH,0	GWD,0	IBS,0	ITU,0	JPT,0	KHV,850	LWK,0	MSL,0	MXL,0	PEL,0	PJL,0	PUR,0	STU,0	TSI,0	YRI,0	
LWK	ACB,0	ASW,0	BEB,0	CDX,0	CEU,0	CHB,0	CHS,0	CLM,0	ESN,1	FIN,0	GBR,0	GIH,0	GWD,0	IBS,0	ITU,0	JPT,0	KHV,0	LWK,1973	MSL,0	MXL,0	PEL,0	PJL,0	PUR,0	STU,0	TSI,0	YRI,6	
MSL	ACB,7	ASW,5	BEB,0	CDX,0	CEU,0	CHB,0	CHS,0	CLM,0	ESN,79	FIN,0	GBR,0	GIH,0	GWD,1114	IBS,0	ITU,0	JPT,0	KHV,0	LWK,0	MSL,241	MXL,0	PEL,0	PJL,0	PUR,0	STU,0	TSI,0	YRI,534	
MXL	ACB,0	ASW,15	BEB,0	CDX,0	CEU,89	CHB,0	CHS,0	CLM,8	ESN,0	FIN,17	GBR,56	GIH,0	GWD,0	IBS,20	ITU,0	JPT,0	KHV,0	LWK,0	MSL,0	MXL,615	PEL,1112	PJL,0	PUR,0	STU,0	TSI,8	YRI,0	
PEL	ACB,0	ASW,0	BEB,0	CDX,0	CEU,0	CHB,0	CHS,0	CLM,0	ESN,0	FIN,0	GBR,0	GIH,0	GWD,0	IBS,0	ITU,0	JPT,0	KHV,0	LWK,0	MSL,0	MXL,1	PEL,2439	PJL,0	PUR,0	STU,0	TSI,0	YRI,0	
PJL	ACB,0	ASW,0	BEB,140	CDX,0	CEU,4	CHB,0	CHS,0	CLM,0	ESN,0	FIN,3	GBR,3	GIH,663	GWD,0	IBS,0	ITU,221	JPT,0	KHV,0	LWK,0	MSL,0	MXL,0	PEL,0	PJL,1697	PUR,0	STU,189	TSI,0	YRI,0	
PUR	ACB,0	ASW,1	BEB,0	CDX,0	CEU,1283	CHB,0	CHS,0	CLM,17	ESN,0	FIN,48	GBR,727	GIH,0	GWD,0	IBS,268	ITU,0	JPT,0	KHV,0	LWK,0	MSL,0	MXL,15	PEL,21	PJL,0	PUR,172	STU,0	TSI,228	YRI,0	
STU	ACB,0	ASW,0	BEB,232	CDX,0	CEU,0	CHB,0	CHS,0	CLM,0	ESN,0	FIN,0	GBR,0	GIH,123	GWD,0	IBS,0	ITU,644	JPT,0	KHV,0	LWK,0	MSL,0	MXL,0	PEL,0	PJL,70	PUR,0	STU,1211	TSI,0	YRI,0	
TSI	ACB,0	ASW,0	BEB,0	CDX,0	CEU,684	CHB,0	CHS,0	CLM,0	ESN,0	FIN,1	GBR,410	GIH,0	GWD,0	IBS,185	ITU,0	JPT,0	KHV,0	LWK,0	MSL,0	MXL,0	PEL,0	PJL,0	PUR,0	STU,0	TSI,860	YRI,0	
