query_subpop	match_subpop,count...
ACB	ACB,970	ASW,532	BEB,0	CDX,0	CEU,0	CHB,0	CHS,0	CLM,0	ESN,257	FIN,0	GBR,0	GIH,0	GWD,12	IBS,0	ITU,0	JPT,0	KHV,0	LWK,1	MSL,2	MXL,0	PEL,0	PJL,0	PUR,6	STU,0	TSI,0	YRI,540	
ASW	ACB,470	ASW,828	BEB,0	CDX,0	CEU,0	CHB,0	CHS,0	CLM,13	ESN,34	FIN,0	GBR,0	GIH,0	GWD,9	IBS,0	ITU,0	JPT,0	KHV,0	LWK,1	MSL,0	MXL,7	PEL,17	PJL,0	PUR,23	STU,0	TSI,0	YRI,78	
BEB	ACB,0	ASW,0	BEB,1784	CDX,0	CEU,0	CHB,0	CHS,0	CLM,0	ESN,0	FIN,0	GBR,0	GIH,47	GWD,0	IBS,0	ITU,187	JPT,0	KHV,0	LWK,0	MSL,0	MXL,0	PEL,0	PJL,330	PUR,0	STU,272	TSI,0	YRI,0	
CDX	ACB,0	ASW,0	BEB,0	CDX,1289	CEU,0	CHB,55	CHS,175	CLM,0	ESN,0	FIN,0	GBR,0	GIH,0	GWD,0	IBS,0	ITU,0	JPT,0	KHV,341	LWK,0	MSL,0	MXL,0	PEL,0	PJL,0	PUR,0	STU,0	TSI,0	YRI,0	
CEU	ACB,0	ASW,0	BEB,0	CDX,0	CEU,2721	CHB,0	CHS,0	CLM,0	ESN,0	FIN,25	GBR,711	GIH,0	GWD,0	IBS,103	ITU,0	JPT,0	KHV,0	LWK,0	MSL,0	MXL,0	PEL,0	PJL,0	PUR,0	STU,0	TSI,20	YRI,0	
CHB	ACB,0	ASW,0	BEB,0	CDX,12	CEU,0	CHB,1068	CHS,941	CLM,0	ESN,0	FIN,0	GBR,0	GIH,0	GWD,0	IBS,0	ITU,0	JPT,18	KHV,21	LWK,0	MSL,0	MXL,0	PEL,0	PJL,0	PUR,0	STU,0	TSI,0	YRI,0	
CHS	ACB,0	ASW,0	BEB,0	CDX,26	CEU,0	CHB,789	CHS,2336	CLM,0	ESN,0	FIN,0	GBR,0	GIH,0	GWD,0	IBS,0	ITU,0	JPT,7	KHV,102	LWK,0	MSL,0	MXL,0	PEL,0	PJL,0	PUR,0	STU,0	TSI,0	YRI,0	
CLM	ACB,3	ASW,28	BEB,0	CDX,0	CEU,62	CHB,0	CHS,0	CLM,1706	ESN,0	FIN,0	GBR,16	GIH,0	GWD,0	IBS,89	ITU,0	JPT,0	KHV,0	LWK,0	MSL,0	MXL,449	PEL,59	PJL,0	PUR,216	STU,0	TSI,12	YRI,0	
ESN	ACB,10	ASW,0	BEB,0	CDX,0	CEU,0	CHB,0	CHS,0	CLM,0	ESN,2004	FIN,0	GBR,0	GIH,0	GWD,1	IBS,0	ITU,0	JPT,0	KHV,0	LWK,0	MSL,0	MXL,0	PEL,0	PJL,0	PUR,0	STU,0	TSI,0	YRI,965	
FIN	ACB,0	ASW,0	BEB,0	CDX,0	CEU,118	CHB,0	CHS,0	CLM,0	ESN,0	FIN,1829	GBR,29	GIH,0	GWD,0	IBS,2	ITU,0	JPT,0	KHV,0	LWK,0	MSL,0	MXL,0	PEL,0	PJL,0	PUR,0	STU,0	TSI,2	YRI,0	
GBR	ACB,0	ASW,0	BEB,0	CDX,0	CEU,1181	CHB,0	CHS,0	CLM,0	ESN,0	FIN,8	GBR,595	GIH,0	GWD,0	IBS,33	ITU,0	JPT,0	KHV,0	LWK,0	MSL,0	MXL,0	PEL,0	PJL,0	PUR,0	STU,0	TSI,3	YRI,0	
GIH	ACB,0	ASW,0	BEB,80	CDX,0	CEU,0	CHB,0	CHS,0	CLM,0	ESN,0	FIN,0	GBR,0	GIH,1513	GWD,0	IBS,0	ITU,80	JPT,0	KHV,0	LWK,0	MSL,0	MXL,0	PEL,0	PJL,304	PUR,0	STU,83	TSI,0	YRI,0	
GWD	ACB,3	ASW,2	BEB,0	CDX,0	CEU,0	CHB,0	CHS,0	CLM,0	ESN,6	FIN,0	GBR,0	GIH,0	GWD,3530	IBS,0	ITU,0	JPT,0	KHV,0	LWK,0	MSL,3	MXL,0	PEL,0	PJL,0	PUR,0	STU,0	TSI,0	YRI,16	
IBS	ACB,0	ASW,0	BEB,0	CDX,0	CEU,768	CHB,0	CHS,0	CLM,11	ESN,0	FIN,0	GBR,217	GIH,0	GWD,0	IBS,1843	ITU,0	JPT,0	KHV,0	LWK,0	MSL,0	MXL,1	PEL,0	PJL,0	PUR,4	STU,0	TSI,296	YRI,0	
ITU	ACB,0	ASW,0	BEB,314	CDX,0	CEU,0	CHB,0	CHS,0	CLM,0	ESN,0	FIN,0	GBR,0	GIH,98	GWD,0	IBS,0	ITU,988	JPT,0	KHV,0	LWK,0	MSL,0	MXL,0	PEL,0	PJL,220	PUR,0	STU,520	TSI,0	YRI,0	
JPT	ACB,0	ASW,0	BEB,0	CDX,0	CEU,0	CHB,28	CHS,11	CLM,0	ESN,0	FIN,0	GBR,0	GIH,0	GWD,0	IBS,0	ITU,0	JPT,2041	KHV,0	LWK,0	MSL,0	MXL,0	PEL,0	PJL,0	PUR,0	STU,0	TSI,0	YRI,0	
KHV	ACB,0	ASW,0	BEB,0	CDX,379	CEU,0	CHB,98	CHS,514	CLM,0	ESN,0	FIN,0	GBR,0	GIH,0	GWD,0	IBS,0	ITU,0	JPT,0	KHV,1449	LWK,0	MSL,0	MXL,0	PEL,0	PJL,0	PUR,0	STU,0	TSI,0	YRI,0	
LWK	ACB,0	ASW,3	BEB,0	CDX,0	CEU,0	CHB,0	CHS,0	CLM,0	ESN,5	FIN,0	GBR,0	GIH,0	GWD,0	IBS,0	ITU,0	JPT,0	KHV,0	LWK,1965	MSL,0	MXL,0	PEL,0	PJL,0	PUR,0	STU,0	TSI,0	YRI,7	
MSL	ACB,85	ASW,9	BEB,0	CDX,0	CEU,0	CHB,0	CHS,0	CLM,0	ESN,76	FIN,0	GBR,0	GIH,0	GWD,226	IBS,0	ITU,0	JPT,0	KHV,0	LWK,0	MSL,1341	MXL,0	PEL,0	PJL,0	PUR,0	STU,0	TSI,0	YRI,243	
MXL	ACB,0	ASW,1	BEB,0	CDX,0	CEU,18	CHB,0	CHS,0	CLM,248	ESN,0	FIN,0	GBR,10	GIH,0	GWD,0	IBS,18	ITU,0	JPT,0	KHV,0	LWK,0	MSL,0	MXL,1366	PEL,258	PJL,0	PUR,19	STU,0	TSI,2	YRI,0	
PEL	ACB,1	ASW,11	BEB,0	CDX,0	CEU,0	CHB,0	CHS,0	CLM,78	ESN,0	FIN,0	GBR,0	GIH,0	GWD,0	IBS,0	ITU,0	JPT,0	KHV,0	LWK,0	MSL,0	MXL,210	PEL,2135	PJL,0	PUR,5	STU,0	TSI,0	YRI,0	
PJL	ACB,0	ASW,0	BEB,212	CDX,0	CEU,0	CHB,0	CHS,0	CLM,0	ESN,0	FIN,0	GBR,0	GIH,303	GWD,0	IBS,0	ITU,116	JPT,0	KHV,0	LWK,0	MSL,0	MXL,0	PEL,0	PJL,2165	PUR,0	STU,124	TSI,0	YRI,0	
PUR	ACB,17	ASW,78	BEB,0	CDX,0	CEU,3	CHB,0	CHS,0	CLM,218	ESN,0	FIN,0	GBR,2	GIH,0	GWD,0	IBS,75	ITU,0	JPT,0	KHV,0	LWK,0	MSL,0	MXL,137	PEL,3	PJL,0	PUR,2238	STU,0	TSI,9	YRI,0	
STU	ACB,0	ASW,0	BEB,417	CDX,0	CEU,0	CHB,0	CHS,0	CLM,0	ESN,0	FIN,0	GBR,0	GIH,64	GWD,0	IBS,0	ITU,497	JPT,0	KHV,0	LWK,0	MSL,0	MXL,0	PEL,0	PJL,218	PUR,0	STU,1084	TSI,0	YRI,0	
